"SecurityID","Symbol","ContractCode","ShortName","TradingDate","DataType","ExchangeCode","CallOrPut","UnderlyingSecurityID","Filling","ContinueSign","MainSign","PreClosePrice","PreSettlePrice","PrePosition","PositionChange","AvgPrice","ClosePriceChangeRatio","SettlePriceChangeRatio","Amplitude","LimitUp","LimitDown","InitialMargin","MaintainingMargin","InitialMarginRatio","MaintainingMarginRatio","ChangeRatio"
"209000000157","10000077","601318P1406M03750","中国平安沽6月3750","2014-01-14","2","SSE","P","201000004264","0","P9804","2","","","","","1.9400","","","","5.5390","0.0010","","9365.5000","","23.4196",""
"209000000121","10000041","601318C1401M03500","中国平安购1月3500","2014-01-14","2","SSE","C","201000004264","0","P9801","2","","","","","4.7522","","","","8.4530","0.5630","","15011.5000","","37.5381",""
"209000000122","10000042","601318C1401M03750","中国平安购1月3750","2014-01-14","2","SSE","C","201000004264","0","P9801","2","","","","","2.3547","","","","6.1630","0.0010","","12665.5000","","31.6717",""
"209000000123","10000043","601318C1401M04000","中国平安购1月4000","2014-01-14","2","SSE","C","201000004264","0","P9801","2","","","","","0.6998","","","","4.5750","0.0010","","10870.5000","","27.1830",""
"209000000124","10000044","601318C1401M04250","中国平安购1月4250","2014-01-14","2","SSE","C","201000004264","0","P9801","2","","","","","0.1186","","","","3.7580","0.0010","","7641.5000","","19.1085",""
"209000000125","10000045","601318C1401M04500","中国平安购1月4500","2014-01-14","2","SSE","C","201000004264","0","P9801","2","","","","","0.0109","","","","3.4020","0.0010","","4998.5000","","12.4994",""
"209000000126","10000046","601318P1401M03500","中国平安沽1月3500","2014-01-14","2","SSE","P","201000004264","0","P9801","2","","","","","0.0043","","","","3.0640","0.0010","","5010.5000","","12.5294",""
"209000000127","10000047","601318P1401M03750","中国平安沽1月3750","2014-01-14","2","SSE","P","201000004264","0","P9801","2","","","","","0.1553","","","","3.7370","0.0010","","7602.5000","","19.0110",""
"209000000147","10000067","601318P1403M03750","中国平安沽3月3750","2014-01-14","2","SSE","P","201000004264","0","P9803","2","","","","","1.3137","","","","4.8860","0.0010","","8718.5000","","21.8017",""
"209000000153","10000073","601318C1406M04000","中国平安购6月4000","2014-01-14","2","SSE","C","201000004264","0","P9804","2","","","","","3.2717","","","","7.1430","0.0010","","13451.5000","","33.6372",""
"209000000128","10000048","601318P1401M04000","中国平安沽1月4000","2014-01-14","2","SSE","P","201000004264","0","P9801","2","","","","","1.0502","","","","5.0780","0.0010","","10793.5000","","26.9905",""
"209000000129","10000049","601318P1401M04250","中国平安沽1月4250","2014-01-14","2","SSE","P","201000004264","0","P9801","2","","","","","3.0289","","","","7.0050","0.0010","","12621.5000","","31.5616",""
"209000000130","10000050","601318P1401M04500","中国平安沽1月4500","2014-01-14","2","SSE","P","201000004264","0","P9801","2","","","","","5.2525","","","","9.5050","1.6150","","15075.5000","","37.6982",""
"209000000131","10000051","601318C1402M03500","中国平安购2月3500","2014-01-14","2","SSE","C","201000004264","0","P9802","2","","","","","5.1451","","","","8.9510","1.0610","","15447.5000","","38.6284",""
